timestamp,msg_type,lat,lon,alt,roll,pitch,yaw,voltage,current,battery_remaining,throttle
2026-03-26T19:39:42.572998,ATTITUDE,,,,0.46980151534080505,0.0194904375821352,-0.3497261106967926,,,,
2026-03-26T19:39:43.364797,ATTITUDE,,,,0.4692728519439697,0.019554680213332176,-0.35088589787483215,,,,
2026-03-26T19:39:43.572688,ATTITUDE,,,,0.4692913591861725,0.019587496295571327,-0.3511660695075989,,,,
2026-03-26T19:39:44.364604,ATTITUDE,,,,0.46933019161224365,0.01952553167939186,-0.3520940840244293,,,,
2026-03-26T19:39:44.572936,ATTITUDE,,,,0.46920162439346313,0.01940465345978737,-0.35229727625846863,,,,
2026-03-26T19:39:45.365354,ATTITUDE,,,,0.4687400162220001,0.018849244341254234,-0.3532775640487671,,,,
2026-03-26T19:39:45.572781,ATTITUDE,,,,0.4687820374965668,0.01891273818910122,-0.3534911274909973,,,,
2026-03-26T19:39:46.364792,ATTITUDE,,,,0.4688253104686737,0.018982790410518646,-0.3545192778110504,,,,
2026-03-26T19:39:46.572725,ATTITUDE,,,,0.4688640236854553,0.019007259979844093,-0.3547612130641937,,,,
2026-03-26T19:39:47.364815,ATTITUDE,,,,0.4690067768096924,0.01909750886261463,-0.35569196939468384,,,,
2026-03-26T19:39:47.572497,ATTITUDE,,,,0.46901413798332214,0.019086360931396484,-0.3559696674346924,,,,
2026-03-26T19:39:48.365223,ATTITUDE,,,,0.4694434404373169,0.019410274922847748,-0.3570478558540344,,,,
2026-03-26T19:39:48.572820,ATTITUDE,,,,0.4695453643798828,0.019559510052204132,-0.3573119044303894,,,,
2026-03-26T19:39:49.364801,ATTITUDE,,,,0.470114529132843,0.02016722783446312,-0.3582879602909088,,,,
2026-03-26T19:39:49.572849,ATTITUDE,,,,0.469400018453598,0.01945805922150612,-0.35857251286506653,,,,
2026-03-26T19:39:50.365350,ATTITUDE,,,,0.4701853096485138,0.021603170782327652,-0.3609890341758728,,,,
2026-03-26T19:39:50.573304,ATTITUDE,,,,0.4700612723827362,0.021754251793026924,-0.3612630069255829,,,,
2026-03-26T19:39:51.364993,ATTITUDE,,,,0.469161719083786,0.021615242585539818,-0.3625906705856323,,,,
2026-03-26T19:39:51.572656,ATTITUDE,,,,0.4691607654094696,0.021591564640402794,-0.3629129230976105,,,,
2026-03-26T19:39:52.365355,ATTITUDE,,,,0.4692533314228058,0.021807456389069557,-0.3640625774860382,,,,
2026-03-26T19:39:52.572698,ATTITUDE,,,,0.4692545533180237,0.021787511184811592,-0.36430802941322327,,,,
2026-03-26T19:39:53.364825,ATTITUDE,,,,0.4693341553211212,0.02184317633509636,-0.36533862352371216,,,,
2026-03-26T19:39:53.572990,ATTITUDE,,,,0.46932557225227356,0.021887386217713356,-0.3656025230884552,,,,
2026-03-26T19:39:54.364962,ATTITUDE,,,,0.46925345063209534,0.02185629867017269,-0.3666183650493622,,,,
2026-03-26T19:39:54.572786,ATTITUDE,,,,0.46927309036254883,0.021824978291988373,-0.36686310172080994,,,,
2026-03-26T19:39:55.364914,ATTITUDE,,,,0.46933430433273315,0.021953418850898743,-0.36777856945991516,,,,
2026-03-26T19:39:55.573057,ATTITUDE,,,,0.46934086084365845,0.021956171840429306,-0.36802229285240173,,,,
2026-03-26T19:39:56.364998,ATTITUDE,,,,0.46936166286468506,0.022075166925787926,-0.36897748708724976,,,,
2026-03-26T19:39:56.572710,ATTITUDE,,,,0.4693373441696167,0.022051990032196045,-0.36924245953559875,,,,
2026-03-26T19:39:57.365119,ATTITUDE,,,,0.46922412514686584,0.021945873275399208,-0.3702285587787628,,,,
2026-03-26T19:39:57.572736,ATTITUDE,,,,0.46932709217071533,0.021961070597171783,-0.37047794461250305,,,,
2026-03-26T19:39:58.365144,ATTITUDE,,,,0.46940821409225464,0.022019853815436363,-0.37147969007492065,,,,
2026-03-26T19:39:58.573058,ATTITUDE,,,,0.4694410264492035,0.022080445662140846,-0.3717270493507385,,,,
2026-03-26T19:39:59.364977,ATTITUDE,,,,0.46949318051338196,0.022145645692944527,-0.37256401777267456,,,,
2026-03-26T19:39:59.573083,ATTITUDE,,,,0.4695306122303009,0.022166943177580833,-0.3728097379207611,,,,
2026-03-26T19:40:00.365113,ATTITUDE,,,,0.46944206953048706,0.0221523679792881,-0.37376299500465393,,,,
2026-03-26T19:40:00.572826,ATTITUDE,,,,0.46944186091423035,0.02211116813123226,-0.37400028109550476,,,,
2026-03-26T19:40:01.365547,ATTITUDE,,,,0.46955302357673645,0.02219066210091114,-0.3749389052391052,,,,
2026-03-26T19:40:01.573070,ATTITUDE,,,,0.46957868337631226,0.022176159545779228,-0.3751560151576996,,,,
2026-03-26T19:40:02.365117,ATTITUDE,,,,0.46964317560195923,0.02226211503148079,-0.37609657645225525,,,,
2026-03-26T19:40:02.572852,ATTITUDE,,,,0.4696221351623535,0.02225375734269619,-0.37636446952819824,,,,
2026-03-26T19:40:03.365257,ATTITUDE,,,,0.46963438391685486,0.022300960496068,-0.3773277699947357,,,,
2026-03-26T19:40:03.573213,ATTITUDE,,,,0.4696235656738281,0.022336868569254875,-0.37762537598609924,,,,
2026-03-26T19:40:04.365210,ATTITUDE,,,,0.4696963131427765,0.022393357008695602,-0.3785642981529236,,,,
2026-03-26T19:40:04.573345,ATTITUDE,,,,0.4697348475456238,0.022375384345650673,-0.3788065016269684,,,,
2026-03-26T19:40:05.365286,ATTITUDE,,,,0.4696769714355469,0.02224087342619896,-0.3798850178718567,,,,
2026-03-26T19:40:05.573256,ATTITUDE,,,,0.46975594758987427,0.02226884663105011,-0.3801336884498596,,,,
2026-03-26T19:40:06.365685,ATTITUDE,,,,0.46854478120803833,0.021300319582223892,-0.3802085220813751,,,,
2026-03-26T19:40:06.573565,ATTITUDE,,,,0.46865224838256836,0.021061651408672333,-0.3802018463611603,,,,
2026-03-26T19:40:07.365678,ATTITUDE,,,,0.4680410623550415,0.018041152507066727,-0.379677951335907,,,,
2026-03-26T19:40:07.573112,ATTITUDE,,,,0.4680035710334778,0.018121741712093353,-0.38010451197624207,,,,
2026-03-26T19:40:08.365746,ATTITUDE,,,,0.46857643127441406,0.018923746421933174,-0.38138508796691895,,,,
2026-03-26T19:40:08.573242,ATTITUDE,,,,0.4686160385608673,0.019067011773586273,-0.3817306160926819,,,,
2026-03-26T19:40:09.365441,ATTITUDE,,,,0.4686167538166046,0.019218889996409416,-0.38272005319595337,,,,
2026-03-26T19:40:09.573697,ATTITUDE,,,,0.46857988834381104,0.019191186875104904,-0.38297969102859497,,,,
2026-03-26T19:40:10.365811,ATTITUDE,,,,0.4686696231365204,0.019116105511784554,-0.38386964797973633,,,,
2026-03-26T19:40:10.573426,ATTITUDE,,,,0.4686116874217987,0.01906818337738514,-0.3841147720813751,,,,
2026-03-26T19:40:11.365796,ATTITUDE,,,,0.4685782790184021,0.019052375108003616,-0.3851557672023773,,,,
2026-03-26T19:40:11.573154,ATTITUDE,,,,0.46844542026519775,0.01892932504415512,-0.38543224334716797,,,,
2026-03-26T19:40:12.365510,ATTITUDE,,,,0.46860402822494507,0.019008152186870575,-0.3864677846431732,,,,
2026-03-26T19:40:12.573122,ATTITUDE,,,,0.4686165750026703,0.019075367599725723,-0.3866580128669739,,,,
